"luckycart","luckycart"
"Configuration","Configuration"
"Enable","Activation"
"API Key","Clé API"
"API Secret","Secret API"
"Brand Settings","Marque"

"Fields","Données envoyées"
"Invoice country","Pays de facturation"
"OptIn","Optin"
"Email","Email"
"Payment method","Mode de paiement"
"Firstname","Prénom"
"Lastname","Nom"
"Discount code","Code Promo"
"Lang","Langue"
"Store ID","Magasin"
"Title (Gender)","Titre"
"New customer","Nouveau client"
"Shipping","Frais de livraison"
"Discount","Montant réduction"
"Group","Groupe"
"Age","Age"
"Address","Adresse complète"
"Zip","Code Postal"
"Total Amount(inc. VAT)","Cumul commandes (montant TTC)"
"Total orders","Cumul commandes (nombre)"
"Order status","Statut commande"
"IP address","Adresse IP"

"Cancellation","Annulation"
"Targeted status","Statut cible"

"<strong>LuckyCart:</strong> Cancellation of %1 ticket(s) for Order #%2","<strong>LuckyCart :</strong> Annulation de %1 ticket(s) pour la commande #%2"
